ID,Model Name,Category,Domain,Query Type,Latency (ms),Response Accuracy (%),Performance Time (s),Memory Usage (MB),Concurrent Queries,Optimization Technique,Notes
78,Turner-GreenBot,Open-Source,Healthcare,Complex Query,1000,77.7,0.7,1441,28,Baseline,Faster architecture
79,WilsonWardandFryBot,Open-Source,Retail,Complex Query,322,80.46,4.06,740,23,Neural Architecture Search,Reduced memory footprint
80,Wyatt-WrightBot,Hybrid,Healthcare,Multi-turn Query,359,88.47,3.49,1738,9,Neural Architecture Search,Faster architecture
81,SummersGroupBot,Rule-Based,Education,Simple Query,607,76.26,0.64,589,10,Baseline,No optimization applied
82,MccoyAndrewsandHicksBot,Open-Source,Finance,Complex Query,453,79.01,4.94,1826,42,Reinforcement Learning,Faster architecture
83,LawrenceWilliamsandLeeBot,Domain-Specific,Retail,Simple Query,562,84.14,2.84,604,17,Neural Architecture Search,Improved adaptive response
84,SummersGroupBot,Open-Source,E-commerce,Complex Query,281,82.3,2.25,735,37,Model Pruning,Faster architecture
85,KiddLtdBot,Custom,Retail,Complex Query,213,79.76,1.42,1478,3,Baseline,No optimization applied
86,JohnstonDaltonandRileyBot,Rule-Based,Finance,Complex Query,140,94.19,4.3,1137,37,Reinforcement Learning,Improved adaptive response
87,CamachoIncBot,Custom,Retail,Simple Query,134,80.96,4.72,1103,23,Baseline,No optimization applied
88,Taylor-SimsBot,Open-Source,Education,Complex Query,107,77.94,1.23,659,23,Reinforcement Learning,Reduced memory footprint
89,GardnerCarrollandJonesBot,Rule-Based,Education,Multi-turn Query,213,86.42,1.58,480,40,Neural Architecture Search,Faster architecture
90,Nguyen-MercadoBot,Domain-Specific,Healthcare,Simple Query,731,84.9,4.01,1162,1,Reinforcement Learning,Reduced memory footprint
91,HayesRoachandCarrollBot,Domain-Specific,Healthcare,Simple Query,486,94.53,0.78,720,31,Model Pruning,Faster architecture
92,Nielsen-DiazBot,Rule-Based,E-commerce,Multi-turn Query,725,92.44,3.36,399,46,Baseline,Improved adaptive response
93,CombsJonesandRamseyBot,Hybrid,Healthcare,Complex Query,903,82.37,3.1,341,29,Neural Architecture Search,Faster architecture
94,Baldwin-LaraBot,Hybrid,Healthcare,Complex Query,281,78.02,1.97,1111,8,Model Pruning,Faster architecture
95,Nguyen-MercadoBot,Open-Source,Education,Multi-turn Query,153,87.23,4.8,1772,28,Neural Architecture Search,Faster architecture
96,CamachoIncBot,Open-Source,Finance,Complex Query,165,82.72,4.89,1918,33,Reinforcement Learning,Improved adaptive response
97,JohnsonFrazierandHillBot,Hybrid,Healthcare,Simple Query,166,85.78,1.79,307,11,Model Pruning,Reduced memory footprint
98,NelsonPLCBot,Domain-Specific,Finance,Complex Query,597,82.03,1.39,1175,3,Neural Architecture Search,Improved adaptive response
99,FosterMullenandJohnsonBot,Rule-Based,Healthcare,Complex Query,157,92.08,2.91,824,44,Baseline,No optimization applied
100,MccoyAndrewsandHicksBot,Rule-Based,Retail,Simple Query,847,83.97,0.76,267,38,Model Pruning,Faster architecture
101,Mcconnell-FloresBot,Domain-Specific,Retail,Complex Query,351,80.21,3.81,696,50,Neural Architecture Search,Reduced memory footprint
102,MccoyAndrewsandHicksBot,Rule-Based,Finance,Complex Query,988,94.57,2.04,1675,2,Model Pruning,Faster architecture
103,Mcconnell-FloresBot,Domain-Specific,E-commerce,Multi-turn Query,657,79.55,2.69,1525,46,Baseline,Faster architecture
104,JohnsonFrazierandHillBot,Open-Source,Education,Complex Query,355,80.68,1.98,1915,1,Model Pruning,Improved adaptive response
105,KnightMcdowellandMarksBot,Domain-Specific,Healthcare,Multi-turn Query,383,90.09,3.95,1216,50,Model Pruning,Faster architecture
106,KleinIncBot,Domain-Specific,E-commerce,Simple Query,841,92.21,2.16,1003,19,Model Pruning,Faster architecture
107,PerryGroupBot,Hybrid,E-commerce,Simple Query,667,93.79,4.51,314,38,Reinforcement Learning,No optimization applied
108,JohnsonFrazierandHillBot,Open-Source,Retail,Complex Query,886,89.25,4.79,1236,5,Baseline,Improved adaptive response
109,PerezPLCBot,Domain-Specific,Retail,Multi-turn Query,253,76.21,2.38,1436,22,Baseline,Reduced memory footprint
110,Greene-CoxBot,Domain-Specific,Retail,Simple Query,855,84.93,3.84,1247,18,Neural Architecture Search,Reduced memory footprint
111,ThomasGroupBot,Rule-Based,Education,Multi-turn Query,611,77.23,4.83,552,2,Reinforcement Learning,Faster architecture
112,Miller-RamirezBot,Domain-Specific,E-commerce,Complex Query,277,83.32,2.4,314,31,Reinforcement Learning,No optimization applied
113,Trevino-PhillipsBot,Domain-Specific,Education,Simple Query,230,92.99,4.48,1829,48,Baseline,No optimization applied
114,ThomasGroupBot,Custom,Education,Complex Query,170,91.5,0.69,1273,18,Reinforcement Learning,Faster architecture
115,SummersGroupBot,Rule-Based,E-commerce,Complex Query,645,84.88,3.6,785,4,Reinforcement Learning,Improved adaptive response
116,Carson-BurkeBot,Hybrid,Finance,Simple Query,811,93.01,2.73,1980,23,Reinforcement Learning,No optimization applied
117,ClarkWoodardandCamposBot,Hybrid,Retail,Simple Query,275,91.37,1.78,1753,26,Model Pruning,Improved adaptive response
118,RhodesRandolphandRodriguezBot,Custom,Retail,Simple Query,625,81.31,2.12,1379,5,Reinforcement Learning,Reduced memory footprint
119,MurphyHarringtonandFerrellBot,Custom,Education,Complex Query,334,83.27,3.29,1768,23,Model Pruning,Improved adaptive response
120,MurphyHarringtonandFerrellBot,Open-Source,Finance,Complex Query,331,80.53,0.64,574,42,Reinforcement Learning,No optimization applied
121,KleinGroupBot,Rule-Based,Finance,Complex Query,263,79.65,3.22,365,46,Reinforcement Learning,No optimization applied
122,CollinsThompsonandBrownBot,Open-Source,Healthcare,Simple Query,952,88.22,4.72,1931,38,Model Pruning,Reduced memory footprint
123,Nielsen-DiazBot,Domain-Specific,Education,Complex Query,123,93.54,2.75,569,5,Baseline,Reduced memory footprint
124,Welch-GuerreroBot,Rule-Based,Healthcare,Simple Query,371,77.63,2.02,1032,9,Baseline,Reduced memory footprint
125,GriffithGreenandCruzBot,Rule-Based,Retail,Simple Query,109,83.85,4.02,1899,13,Baseline,Improved adaptive response
126,CollinsThompsonandBrownBot,Hybrid,E-commerce,Multi-turn Query,418,86.47,4.86,1867,14,Baseline,Improved adaptive response
127,WilsonWardandFryBot,Domain-Specific,Finance,Complex Query,484,87.81,1.06,610,4,Baseline,Faster architecture
128,Bowman-BernardBot,Rule-Based,Retail,Multi-turn Query,276,94.2,1.23,860,33,Model Pruning,No optimization applied
129,Snyder-WilliamsonBot,Hybrid,E-commerce,Simple Query,962,86.42,2.31,1658,7,Model Pruning,No optimization applied
130,Cochran-HarrisBot,Open-Source,Retail,Complex Query,915,93.66,4.69,1080,21,Neural Architecture Search,Faster architecture
131,Randolph-JohnsonBot,Domain-Specific,Retail,Multi-turn Query,794,88.7,3.96,1731,46,Neural Architecture Search,No optimization applied
132,Hall-MolinaBot,Open-Source,Retail,Complex Query,492,93.38,4.51,861,25,Baseline,Reduced memory footprint
133,Fernandez-ButlerBot,Rule-Based,Finance,Multi-turn Query,885,81.81,1.54,1422,6,Reinforcement Learning,Improved adaptive response
134,GriffithGreenandCruzBot,Domain-Specific,E-commerce,Complex Query,224,76.81,2.11,437,37,Reinforcement Learning,No optimization applied
135,BishopBarnesandSmithBot,Open-Source,Education,Complex Query,989,85.54,4.18,256,17,Reinforcement Learning,Faster architecture
136,NguyenKellyandBanksBot,Rule-Based,E-commerce,Simple Query,961,82.9,1.14,1481,25,Neural Architecture Search,Faster architecture
137,ThomasGroupBot,Rule-Based,Retail,Complex Query,591,92.49,3.67,1762,22,Model Pruning,Improved adaptive response
138,TrevinoIncBot,Rule-Based,E-commerce,Multi-turn Query,237,81.29,4.04,1083,35,Reinforcement Learning,Faster architecture
139,KleinIncBot,Custom,Healthcare,Simple Query,417,87.69,1.91,1396,34,Neural Architecture Search,No optimization applied
140,Turner-GreenBot,Open-Source,Education,Multi-turn Query,897,93.25,4.95,922,18,Neural Architecture Search,Faster architecture
141,Vazquez-MorenoBot,Rule-Based,Healthcare,Complex Query,728,84.77,0.93,1519,24,Reinforcement Learning,No optimization applied
142,Hall-MolinaBot,Domain-Specific,Healthcare,Multi-turn Query,433,82.22,4.31,2046,16,Model Pruning,Faster architecture
143,Baldwin-MartinBot,Open-Source,Education,Multi-turn Query,497,91.02,4.56,1329,28,Model Pruning,Improved adaptive response
144,Taylor-SimsBot,Rule-Based,Retail,Multi-turn Query,434,89.9,2.5,937,17,Reinforcement Learning,Improved adaptive response
145,RhodesRandolphandRodriguezBot,Domain-Specific,E-commerce,Simple Query,940,90.01,2.12,796,20,Model Pruning,Faster architecture
146,Miller-RamirezBot,Open-Source,E-commerce,Multi-turn Query,351,87.62,4.3,1948,5,Neural Architecture Search,Reduced memory footprint
147,Hanson-BrooksBot,Open-Source,Education,Complex Query,548,83.07,2.07,281,25,Model Pruning,Reduced memory footprint
148,ThomasGroupBot,Rule-Based,Education,Simple Query,750,91.34,4.36,850,33,Model Pruning,Faster architecture
149,NealMitchellandCoxBot,Rule-Based,Education,Complex Query,795,86.83,3.86,1560,4,Model Pruning,No optimization applied
150,CollinsThompsonandBrownBot,Rule-Based,E-commerce,Simple Query,318,88.65,4.38,1994,5,Model Pruning,Improved adaptive response
151,AguilarLLCBot,Custom,Finance,Simple Query,649,84.23,3.89,1329,39,Model Pruning,Improved adaptive response
152,Santos-RodgersBot,Domain-Specific,Retail,Multi-turn Query,500,77.02,1.39,949,16,Baseline,No optimization applied
153,RowlandMartinandGarciaBot,Hybrid,E-commerce,Multi-turn Query,761,79.1,4.78,1097,19,Neural Architecture Search,Faster architecture
154,Lin-BurnsBot,Hybrid,Education,Multi-turn Query,499,89.1,2.55,866,34,Reinforcement Learning,Improved adaptive response
155,RichmondLLCBot,Hybrid,E-commerce,Simple Query,692,75.64,4.93,948,41,Reinforcement Learning,Faster architecture
156,JohnstonDaltonandRileyBot,Custom,E-commerce,Complex Query,999,85.22,1.27,2038,9,Model Pruning,Reduced memory footprint
157,GardnerCarrollandJonesBot,Open-Source,Education,Complex Query,219,85.72,2.52,486,35,Neural Architecture Search,Improved adaptive response
158,BrownMillerandNguyenBot,Domain-Specific,Finance,Multi-turn Query,242,75.82,2.88,1759,31,Baseline,Reduced memory footprint
159,TrevinoIncBot,Domain-Specific,E-commerce,Complex Query,248,78.69,3.21,2040,47,Neural Architecture Search,Improved adaptive response
160,TrevinoIncBot,Hybrid,Finance,Multi-turn Query,937,81.91,2.06,583,6,Baseline,Improved adaptive response
161,CamachoIncBot,Rule-Based,Retail,Multi-turn Query,162,82.86,4.42,1462,49,Neural Architecture Search,Improved adaptive response
162,Taylor-SimsBot,Domain-Specific,Education,Complex Query,213,93.2,4.61,721,22,Baseline,Reduced memory footprint
163,HoffmanIncBot,Custom,Education,Complex Query,546,89.48,3.86,1607,40,Reinforcement Learning,Faster architecture
164,AdkinsPLCBot,Domain-Specific,Finance,Complex Query,132,80.96,1.68,318,4,Model Pruning,No optimization applied
165,ThomasGroupBot,Open-Source,Education,Complex Query,124,84.1,0.99,1623,10,Model Pruning,Reduced memory footprint
166,JonesIncBot,Open-Source,Finance,Simple Query,856,76.45,0.89,1920,46,Neural Architecture Search,Improved adaptive response
167,ButlerBrownandFernandezBot,Open-Source,Finance,Simple Query,797,94.58,1.99,1136,14,Reinforcement Learning,Reduced memory footprint
168,Butler-BensonBot,Hybrid,Education,Complex Query,776,75.89,2.77,829,26,Model Pruning,No optimization applied
169,CombsJonesandRamseyBot,Open-Source,E-commerce,Complex Query,486,94.08,1.41,394,47,Model Pruning,Faster architecture
170,MurphyHarringtonandFerrellBot,Rule-Based,Finance,Complex Query,784,94.32,2.67,483,46,Baseline,Faster architecture
171,MorrowandSonsBot,Hybrid,Healthcare,Complex Query,252,80.15,1.28,1875,42,Reinforcement Learning,Faster architecture
172,CombsJonesandRamseyBot,Custom,Healthcare,Multi-turn Query,246,78.32,1.49,511,22,Neural Architecture Search,Improved adaptive response
173,WallerLLCBot,Hybrid,Healthcare,Simple Query,134,86.49,4.74,402,45,Reinforcement Learning,No optimization applied
174,FrazierDiazandCruzBot,Rule-Based,Healthcare,Simple Query,779,92.17,1.42,1958,19,Neural Architecture Search,Faster architecture
175,KleinGroupBot,Custom,Finance,Complex Query,537,91.95,4.57,498,36,Reinforcement Learning,Faster architecture
176,Cochran-HarrisBot,Rule-Based,Healthcare,Multi-turn Query,470,85.74,3.96,1678,17,Baseline,No optimization applied
177,Wyatt-WrightBot,Domain-Specific,Education,Complex Query,835,83.17,2.74,1273,27,Baseline,Faster architecture
178,CarterLtdBot,Open-Source,Retail,Simple Query,497,81.66,1.96,1052,8,Reinforcement Learning,Faster architecture
179,Baldwin-MartinBot,Custom,E-commerce,Simple Query,257,89.3,1.5,852,21,Reinforcement Learning,Faster architecture
180,WallerLLCBot,Domain-Specific,Finance,Multi-turn Query,544,82.62,3.76,1601,7,Baseline,Reduced memory footprint
181,Snyder-WilliamsonBot,Rule-Based,Retail,Complex Query,812,87.32,2.54,1349,4,Model Pruning,No optimization applied
182,NguyenKellyandBanksBot,Rule-Based,Retail,Multi-turn Query,998,86.79,3.82,1033,47,Baseline,Faster architecture
183,ThomasGroupBot,Open-Source,Education,Multi-turn Query,916,92.2,4.57,468,4,Neural Architecture Search,No optimization applied
184,CombsJonesandRamseyBot,Rule-Based,Education,Complex Query,536,81.94,3.16,709,11,Model Pruning,No optimization applied
185,KleinIncBot,Custom,Retail,Multi-turn Query,263,94.4,3.37,1690,17,Neural Architecture Search,Reduced memory footprint
186,CombsJonesandRamseyBot,Rule-Based,Healthcare,Multi-turn Query,757,91.02,2.59,1379,40,Baseline,No optimization applied
187,Hanson-BrooksBot,Rule-Based,Finance,Multi-turn Query,522,79.51,4.57,1162,33,Neural Architecture Search,No optimization applied
188,KnightMcdowellandMarksBot,Rule-Based,Retail,Multi-turn Query,816,89.58,3.83,1289,49,Baseline,Improved adaptive response
189,PerryGroupBot,Domain-Specific,Healthcare,Multi-turn Query,760,81.06,2.22,1193,1,Model Pruning,Faster architecture
190,Cochran-HarrisBot,Rule-Based,Healthcare,Simple Query,942,91.92,2.65,1768,46,Reinforcement Learning,Reduced memory footprint
191,KleinGroupBot,Open-Source,E-commerce,Simple Query,676,79.01,3.3,773,32,Baseline,No optimization applied
192,Lin-BurnsBot,Open-Source,E-commerce,Simple Query,773,93.21,4.56,1519,48,Reinforcement Learning,No optimization applied
193,Woods-YoungBot,Domain-Specific,Retail,Simple Query,924,84.74,3.03,1520,25,Baseline,Reduced memory footprint
194,MurphyHarringtonandFerrellBot,Hybrid,Retail,Multi-turn Query,578,84.44,3.13,752,14,Reinforcement Learning,No optimization applied
195,Mcconnell-FloresBot,Rule-Based,Healthcare,Complex Query,163,75.98,4.87,963,7,Reinforcement Learning,No optimization applied
196,BrownMillerandNguyenBot,Rule-Based,E-commerce,Multi-turn Query,858,83.83,3.95,1723,37,Baseline,Faster architecture
197,SnyderWarrenandBrownBot,Hybrid,Finance,Simple Query,876,91.21,0.96,975,42,Reinforcement Learning,Improved adaptive response
198,Ramos-SanchezBot,Domain-Specific,Healthcare,Multi-turn Query,688,75.96,0.87,806,44,Reinforcement Learning,Reduced memory footprint
199,Butler-BensonBot,Hybrid,Finance,Complex Query,356,82.56,4.39,623,34,Neural Architecture Search,No optimization applied
200,JohnsonChapmanandRossBot,Custom,Finance,Multi-turn Query,501,92.5,3.09,1189,46,Model Pruning,No optimization applied
201,CarterLtdBot,Custom,Finance,Complex Query,395,87.51,3.87,1710,31,Neural Architecture Search,Improved adaptive response
202,Greene-CoxBot,Custom,Finance,Multi-turn Query,840,90.3,1.23,1679,27,Reinforcement Learning,Faster architecture
203,MurphyHarringtonandFerrellBot,Hybrid,Education,Complex Query,891,90.42,4.15,1952,18,Reinforcement Learning,Faster architecture
204,WoodsIncBot,Custom,Retail,Simple Query,855,79.54,3.17,1758,8,Model Pruning,Reduced memory footprint
205,Woods-YoungBot,Domain-Specific,Education,Simple Query,964,75.5,0.82,712,18,Reinforcement Learning,No optimization applied
206,Bowman-BernardBot,Open-Source,Education,Multi-turn Query,271,84.17,0.98,522,16,Neural Architecture Search,Faster architecture
207,Bowman-BernardBot,Rule-Based,Retail,Complex Query,885,82.68,2.59,1832,27,Model Pruning,Faster architecture
208,Cochran-HarrisBot,Rule-Based,E-commerce,Complex Query,286,92.6,2.9,1842,28,Model Pruning,Faster architecture
209,Baldwin-LaraBot,Domain-Specific,E-commerce,Multi-turn Query,422,81.09,4.16,271,39,Model Pruning,Improved adaptive response
210,GravesPLCBot,Rule-Based,Retail,Simple Query,320,91.16,2.08,1600,48,Neural Architecture Search,Faster architecture
211,Crawford-HoodBot,Open-Source,Finance,Multi-turn Query,689,93.36,3.83,696,39,Model Pruning,Reduced memory footprint
212,FosterMullenandJohnsonBot,Custom,Retail,Multi-turn Query,348,92.32,3.72,610,47,Baseline,Faster architecture
213,Cochran-HarrisBot,Rule-Based,Retail,Complex Query,537,81.53,3.51,311,43,Reinforcement Learning,Improved adaptive response
214,RichmondLLCBot,Hybrid,Finance,Simple Query,765,78.67,1.62,1781,38,Model Pruning,Improved adaptive response
215,MurphyHarringtonandFerrellBot,Open-Source,E-commerce,Multi-turn Query,659,94.61,3.81,1962,36,Baseline,Reduced memory footprint
216,JonesIncBot,Hybrid,Finance,Multi-turn Query,238,88.61,2.35,968,49,Baseline,No optimization applied
217,MurphyHarringtonandFerrellBot,Domain-Specific,Healthcare,Multi-turn Query,563,85.28,3.6,287,16,Neural Architecture Search,Reduced memory footprint
218,Miller-RamirezBot,Rule-Based,Retail,Multi-turn Query,702,87.97,3.36,1897,10,Model Pruning,Faster architecture
219,KleinIncBot,Hybrid,Finance,Complex Query,693,78.03,4.01,294,43,Neural Architecture Search,Faster architecture
220,MurphyHarringtonandFerrellBot,Custom,Education,Multi-turn Query,713,90.05,0.77,333,19,Model Pruning,No optimization applied
221,Butler-BensonBot,Custom,Retail,Multi-turn Query,272,88.77,3.42,804,7,Reinforcement Learning,Faster architecture
